month,avg_humidity,max_humidity,min_humidity
1,52.780303030303,94.0,28.0
2,47.7330827067669,100.0,8.0
3,49.5132075471698,100.0,0.0
4,60.0,100.0,22.0
5,64.9097744360902,100.0,24.0
6,51.0114068441065,88.0,20.0
7,53.6603773584906,94.0,17.0
8,56.0188679245283,89.0,25.0
9,70.1962264150943,100.0,42.0
10,66.3082706766917,100.0,29.0
11,57.1541353383459,100.0,27.0
12,59.8867924528302,100.0,26.0
